2022/06/24 18:23:09.210 => OpenSerial: Com=16 BaudRate=256000, Success=1
2022/06/24 18:23:09.216 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/24 18:23:09.216 => protocol version = 1, send_recv buffer size = 64
2022/06/24 18:23:09.333 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/24 18:23:09.333 => protocol version = 1, send_recv buffer size = 64
2022/06/24 18:23:09.338 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2022/06/24 18:23:09.338 => GetVersion Return: v1.4.4_32772.0
2022/06/24 18:23:14.916 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/24 18:23:14.916 => protocol version = 1, send_recv buffer size = 64
2022/06/24 18:23:15.032 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/24 18:23:15.032 => protocol version = 1, send_recv buffer size = 64
2022/06/24 18:23:15.597 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2022/06/24 18:23:15.602 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2022/06/24 18:23:15.613 => thread information, name=ABDData, tid=5796(0x000016a4)
2022/06/24 18:23:15.625 => thread create success, thread handle=0x0000088c, id=5796, name=ABDData
2022/06/24 18:23:15.655 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=054, R_D=000
2022/06/24 18:23:15.756 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=093, R_D=000
2022/06/24 18:23:15.827 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:15.962 => State=2, M_D=148, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.077 => State=2, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.127 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.182 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.296 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.360 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.409 => State=3, M_D=065, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.524 => State=3, M_D=070, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.638 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.687 => State=3, M_D=060, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:16.802 => State=3, M_D=062, M_S=100, ML_D=000, ML_S=100, R_D=000
