2022/06/30 11:36:59.272 => OpenSerial: Com=16 BaudRate=256000, Success=1
2022/06/30 11:36:59.309 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:36:59.309 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:36:59.414 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:36:59.415 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:36:59.431 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2022/06/30 11:36:59.431 => GetVersion Return: v1.4.4_32772.0
2022/06/30 11:37:00.654 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:37:00.654 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:37:00.772 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:37:00.772 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:37:01.332 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2022/06/30 11:37:01.337 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2022/06/30 11:37:01.351 => thread create success, thread handle=0x00000870, id=18228, name=ABDData
2022/06/30 11:37:01.351 => thread information, name=ABDData, tid=18228(0x00004734)
2022/06/30 11:37:01.443 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:01.515 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:01.585 => State=3, M_D=039, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:01.656 => State=3, M_D=069, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:01.726 => State=3, M_D=049, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:01.798 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:01.869 => State=3, M_D=061, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:01.939 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.011 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.145 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.259 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.311 => State=3, M_D=069, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.425 => State=3, M_D=061, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.541 => State=3, M_D=067, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.644 => State=3, M_D=070, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.759 => State=3, M_D=053, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:02.810 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.861 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:02.929 => State=3, M_D=084, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:03.045 => State=3, M_D=054, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:03.102 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:03.154 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:03.268 => State=2, M_D=118, M_S=067, ML_D=000, ML_S=100, R_D=035
2022/06/30 11:37:03.384 => State=3, M_D=062, M_S=100, ML_D=000, ML_S=100, R_D=036
2022/06/30 11:37:03.435 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=033
2022/06/30 11:37:03.550 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:03.664 => State=3, M_D=073, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:03.715 => State=3, M_D=049, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:03.830 => State=3, M_D=052, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:03.920 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:04.035 => State=3, M_D=071, M_S=100, ML_D=000, ML_S=100, R_D=033
2022/06/30 11:37:04.087 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:04.138 => State=3, M_D=073, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:04.254 => State=3, M_D=068, M_S=100, ML_D=000, ML_S=100, R_D=036
2022/06/30 11:37:04.332 => State=3, M_D=061, M_S=100, ML_D=000, ML_S=100, R_D=037
2022/06/30 11:37:04.445 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:04.496 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:04.611 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:04.723 => State=3, M_D=066, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:04.837 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:04.953 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.004 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.119 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.233 => State=3, M_D=079, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.285 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.399 => State=3, M_D=030, M_S=089, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.515 => State=3, M_D=056, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.566 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.681 => State=3, M_D=030, M_S=093, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.796 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.847 => State=3, M_D=078, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.962 => State=3, M_D=077, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.011 => State=3, M_D=071, M_S=100, ML_D=000, ML_S=100, R_D=032
2022/06/30 11:37:06.061 => State=3, M_D=060, M_S=100, ML_D=000, ML_S=100, R_D=033
2022/06/30 11:37:06.176 => State=3, M_D=063, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:06.292 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:06.341 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.456 => State=3, M_D=030, M_S=062, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.571 => State=3, M_D=055, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.685 => State=3, M_D=076, M_S=081, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:06.798 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.849 => State=3, M_D=052, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.965 => State=3, M_D=052, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:07.079 => State=3, M_D=074, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:07.131 => State=3, M_D=076, M_S=100, ML_D=000, ML_S=100, R_D=037
2022/06/30 11:37:07.186 => State=3, M_D=074, M_S=069, ML_D=000, ML_S=100, R_D=040
2022/06/30 11:37:07.301 => State=3, M_D=065, M_S=100, ML_D=000, ML_S=100, R_D=041
2022/06/30 11:37:07.396 => State=3, M_D=054, M_S=100, ML_D=000, ML_S=100, R_D=040
