2023/05/04 13:03:15.519 => OpenSerial: Com=6 BaudRate=256000, Success=1
2023/05/04 13:03:15.527 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.527 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.649 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.649 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.656 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2023/05/04 13:03:15.656 => GetVersion Return: v1.4.4_32772.0
2023/05/04 13:03:20.141 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.141 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.270 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.270 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.776 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2023/05/04 13:03:20.783 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2023/05/04 13:03:20.791 => thread information, name=ABDData, tid=41736(0x0000a308)
2023/05/04 13:03:20.791 => thread create success, thread handle=0x000005ac, id=41736, name=ABDData
2023/05/04 13:03:20.814 => State=3, M_D=080, M_S=100, ML_D=078, ML_S=100, R_D=085
2023/05/04 13:03:20.913 => State=3, M_D=030, M_S=100, ML_D=080, ML_S=100, R_D=083
2023/05/04 13:03:21.011 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=074
2023/05/04 13:03:21.113 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=066
2023/05/04 13:03:21.210 => State=3, M_D=059, M_S=100, ML_D=030, ML_S=100, R_D=063
2023/05/04 13:03:21.313 => State=3, M_D=030, M_S=100, ML_D=059, ML_S=100, R_D=056
2023/05/04 13:03:21.410 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=050
2023/05/04 13:03:21.513 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=045
2023/05/04 13:03:21.610 => State=3, M_D=074, M_S=100, ML_D=030, ML_S=100, R_D=047
2023/05/04 13:03:21.713 => State=3, M_D=075, M_S=100, ML_D=074, ML_S=100, R_D=048
2023/05/04 13:03:21.813 => State=3, M_D=091, M_S=100, ML_D=075, ML_S=100, R_D=051
2023/05/04 13:03:21.912 => State=3, M_D=084, M_S=100, ML_D=091, ML_S=100, R_D=053
2023/05/04 13:03:22.013 => State=3, M_D=044, M_S=100, ML_D=084, ML_S=100, R_D=050
2023/05/04 13:03:22.110 => State=3, M_D=039, M_S=100, ML_D=044, ML_S=100, R_D=046
